dataset,worksheet,column,col_index,data_type,examples,description,units,role,missing_pct,unique_count,notes,confidence
APACHE 4.xlsx,Sheet1,Date          S.No,0,str,01-10-24       01 | 02-10-24       02   | 03-10-24       03 | 03-10-24       04,Two values crammed into one cell: ICU admission date (dd-mm-yy) + sequential serial no.,date + count,identifier + timestamp,0.0,78,MUST be split. Dates all Oct-2024. S.No 01-77 is the row key.,High
APACHE 4.xlsx,Sheet1,       NAME,1,str,<PII redacted>,Patient full name,text,identifier (direct PHI),0.0,78,Remove before any sharing/modelling.,High
APACHE 4.xlsx,Sheet1,       AGE,2,float64,34.0 | 55.0 | 62.0 | 65.0,Patient age at ICU admission,years,feature,0.0,43,"16-80, median 45. An APACHE IV scoring input.",High
APACHE 4.xlsx,Sheet1,         SEX,3,float64,1.0 | 0.0,"Sex, 1=male 0=female",binary,feature,0.0,2,62M/16F. Coding inferred from the 2024 file's explicit labels + name inspection.,High
APACHE 4.xlsx,Sheet1,       CRNo,4,float64,<PII redacted>,Hospital Central Registration (MRN) number,15-digit id,identifier (indirect PHI),0.0,78,Format 3310 1 YY NNNNNNNN; YY=registration year. All 78 unique.,High
APACHE 4.xlsx,Sheet1,   PHONE No,5,float64,<PII redacted>,Patient mobile number,10-digit,identifier (direct PHI),0.0,78,Remove. No analytic value.,High
APACHE 4.xlsx,Sheet1,      TEMP(°C) ,6,float64,38.33 | 37.056 | 38.889 | 39.722,Core temperature,deg C,feature (APS input),0.0,14,"Values are exact C conversions of whole-degree F readings (36.556, 37.056...) - recorded in F, converted.",High
APACHE 4.xlsx,Sheet1,   MAP(mmHg) ,7,float64,103.3 | 76.6 | 106.6 | 103.33,Mean arterial pressure,mmHg,feature (APS input),0.0,23,36.6-136.6.,High
APACHE 4.xlsx,Sheet1,      HR (/min) ,8,float64,160.0 | 122.0 | 110.0 | 162.0,Heart rate,beats/min,feature (APS input),0.0,50,,High
APACHE 4.xlsx,Sheet1,      RR (/min) ,9,float64,40.0 | 38.0 | 44.0 | 36.0,Respiratory rate,breaths/min,feature (APS input),0.0,29,,High
APACHE 4.xlsx,Sheet1,Mechanical vent,10,float64,1.0 | 0.0,"On invasive mechanical ventilation, 1=yes",binary,feature,0.0,2,"75/78 ventilated - a highly selected, severe ICU cohort.",High
APACHE 4.xlsx,Sheet1,       Fio2 (%) ,11,float64,70.0 | 100.0 | 40.0 | 60.0,Fraction of inspired oxygen,percent,feature (APS input),0.0,10,28-100.,High
APACHE 4.xlsx,Sheet1,    pO2(mmHg) ,12,float64,124.0 | 43.0 | 182.0 | 193.0,Arterial partial pressure of oxygen (ABG),mmHg,feature (APS input),0.0,72,,High
APACHE 4.xlsx,Sheet1,  pCO2 (mmHg) ,13,float64,39.0 | 28.0 | 31.0 | 32.0,Arterial partial pressure of CO2 (ABG),mmHg,feature (APS input),0.0,33,,High
APACHE 4.xlsx,Sheet1,    Arterial pH,14,float64,7.21 | 7.48 | 7.38 | 7.44,Arterial pH (ABG),pH units,feature (APS input),0.0,33,7.03-7.55.,High
APACHE 4.xlsx,Sheet1,  Na+ ( mEq/L) ,15,float64,136.0 | 146.0 | 158.0 | 155.0,Serum sodium,mEq/L,feature (APS input),0.0,34,121-182.,High
APACHE 4.xlsx,Sheet1,Urine Output(ml/24h) ,16,float64,1500.0 | 700.0 | 1400.0 | 1300.0,24-hour urine output,mL/24h,feature (APS input),0.0,43,2 patients anuric (0).,High
APACHE 4.xlsx,Sheet1,  Creatinine(mg/dl) ,17,float64,1.17 | 4.53 | 1.03 | 0.89,Serum creatinine,mg/dL,feature (APS input),0.0,69,"0.14-20.03, right-skewed.",High
APACHE 4.xlsx,Sheet1,   Urea(mEq/L) ,18,float64,28.0 | 303.0 | 83.0 | 43.0,Blood urea,mg/dL despite the mEq/L label,feature,0.0,60,LABEL WRONG: 10-438 is a mg/dL range.,High
